n,W,b,Tiempo,Metodo,nodo
6400,9800,6053,73.285,Dinamica,1802
8600,6200,8371,278.25,Dinamica,689
8400,9100,7786,248.946,Dinamica,628
7400,7300,6713,98.3823,Dinamica,427
4400,5200,6023,33.2135,Dinamica,356
50,300,367,0.042598,Dinamica,99
9300,8700,7664,371.45,Dinamica,936
8900,9700,7848,317.047,Dinamica,734
6200,9500,6585,72.2712,Dinamica,659
500,5700,1960,0.728057,Dinamica,29
8700,2100,8114,287.938,Dinamica,2336
8900,2300,7824,317.355,Dinamica,199
5200,8200,5783,50.7244,Dinamica,1245
3400,7800,4587,23.111,Dinamica,1044
2700,1400,4255,15.1114,Dinamica,190
8900,7200,7635,317.425,Dinamica,151
7500,8500,6397,104.528,Dinamica,2051
7100,8200,6851,92.1575,Dinamica,646
6500,3800,6195,75.9157,Dinamica,871
7000,5500,7014,90.3207,Dinamica,810
9700,800,6963,436.676,Dinamica,605
4000,9800,4667,27.7551,Dinamica,957
4500,6400,5703,36.7169,Dinamica,3148
3200,9700,4723,18.3941,Dinamica,1809
3700,1700,5736,25.478,Dinamica,593
3300,6600,5127,21.4911,Dinamica,970
6100,200,6211,69.6361,Dinamica,90
2600,3700,4679,14.0156,Dinamica,726
6900,6800,6825,85.1659,Dinamica,2283
4100,8400,4882,32.1971,Dinamica,385
9400,5000,8114,397.084,Dinamica,894
9500,800,7295,424.712,Dinamica,691
3300,6700,4466,23.3455,Dinamica,101
900,900,2882,2.06863,Dinamica,319
3400,5600,5002,21.7583,Dinamica,591
6500,7200,6412,78.0934,Dinamica,122
6300,2800,6403,75.6112,Dinamica,626
7900,2700,6993,113.141,Dinamica,175
7200,2400,6476,100.765,Dinamica,389
8000,8800,8051,114.529,Dinamica,3631
3300,7400,4878,23.0443,Dinamica,859
6500,3900,6007,77.2776,Dinamica,422
5200,9200,5676,49.6686,Dinamica,1610
9300,5800,7990,368.682,Dinamica,277
8300,9100,7777,132.4,Dinamica,376
