n,W,b,Tiempo,Metodo
2000,39000,3713,314.453,Dinamica_Top_Down
3000,39000,4546,471.109,Dinamica_Top_Down
4000,39000,4332,627.217,Dinamica_Top_Down
5000,39000,5874,785.902,Dinamica_Top_Down
6000,39000,5935,1057.7,Dinamica_Top_Down
7000,39000,5903,1264.22,Dinamica_Top_Down
8000,39000,7168,1443.27,Dinamica_Top_Down
9000,39000,8198,1435.31,Dinamica_Top_Down
1000,40000,2536,161.818,Dinamica_Top_Down
2000,40000,3814,322.422,Dinamica_Top_Down
3000,40000,4224,482.138,Dinamica_Top_Down
4000,40000,4775,642.748,Dinamica_Top_Down
5000,40000,5742,804.579,Dinamica_Top_Down
6000,40000,6217,1097.29,Dinamica_Top_Down
7000,40000,6644,1294.35,Dinamica_Top_Down
8000,40000,7035,1480.69,Dinamica_Top_Down
9000,40000,7919,2296.4,Dinamica_Top_Down
1000,41000,2634,260.294,Dinamica_Top_Down
2000,41000,3974,517.732,Dinamica_Top_Down
3000,41000,5056,775.051,Dinamica_Top_Down
4000,41000,5521,857.751,Dinamica_Top_Down
5000,41000,6022,1071.54,Dinamica_Top_Down
6000,41000,5823,1290.66,Dinamica_Top_Down
7000,41000,6404,1388.27,Dinamica_Top_Down
8000,41000,7160,1519.97,Dinamica_Top_Down
9000,41000,7730,1669.92,Dinamica_Top_Down
1000,42000,2751,168.997,Dinamica_Top_Down
2000,42000,3468,338.013,Dinamica_Top_Down
3000,42000,4617,506.232,Dinamica_Top_Down
4000,42000,4682,674.903,Dinamica_Top_Down
5000,42000,5894,848.011,Dinamica_Top_Down
6000,42000,7114,1022.07,Dinamica_Top_Down
7000,42000,7839,1363.97,Dinamica_Top_Down
8000,42000,7524,1564.2,Dinamica_Top_Down
9000,42000,7315,2099.31,Dinamica_Top_Down
1000,43000,2386,273.542,Dinamica_Top_Down
2000,43000,4029,543.729,Dinamica_Top_Down
3000,43000,4502,819.739,Dinamica_Top_Down
4000,43000,4863,1053.5,Dinamica_Top_Down
5000,43000,5764,1127,Dinamica_Top_Down
6000,43000,6459,1349.54,Dinamica_Top_Down
7000,43000,6499,1520.04,Dinamica_Top_Down
8000,43000,7213,1598.33,Dinamica_Top_Down
9000,43000,7705,1791.35,Dinamica_Top_Down
1000,44000,2496,176.845,Dinamica_Top_Down
2000,44000,3566,353.034,Dinamica_Top_Down
3000,44000,4240,531.112,Dinamica_Top_Down
4000,44000,4449,707.521,Dinamica_Top_Down
5000,44000,5793,883.998,Dinamica_Top_Down
6000,44000,6523,1066.15,Dinamica_Top_Down
7000,44000,6953,1426.72,Dinamica_Top_Down
8000,44000,6387,1631.82,Dinamica_Top_Down
9000,44000,7448,1699.76,Dinamica_Top_Down
1000,45000,2273,180.407,Dinamica_Top_Down
2000,45000,3636,362.178,Dinamica_Top_Down
3000,45000,4519,543.73,Dinamica_Top_Down
4000,45000,4854,725.082,Dinamica_Top_Down
5000,45000,6439,905.139,Dinamica_Top_Down
6000,45000,6790,1233.47,Dinamica_Top_Down
7000,45000,7246,1456.97,Dinamica_Top_Down
8000,45000,6485,1610.41,Dinamica_Top_Down
9000,45000,7414,1636.31,Dinamica_Top_Down
1000,46000,2167,185.333,Dinamica_Top_Down
2000,46000,3671,369.584,Dinamica_Top_Down
3000,46000,4973,557.153,Dinamica_Top_Down
4000,46000,5287,747.161,Dinamica_Top_Down
5000,46000,6853,1070.57,Dinamica_Top_Down
6000,46000,6473,1278.4,Dinamica_Top_Down
7000,46000,6549,1481.53,Dinamica_Top_Down
8000,46000,7574,1474.14,Dinamica_Top_Down
9000,46000,8363,1660.58,Dinamica_Top_Down
1000,47000,2317,189.071,Dinamica_Top_Down
2000,47000,3883,381.905,Dinamica_Top_Down
3000,47000,4034,652.102,Dinamica_Top_Down
4000,47000,4714,874.315,Dinamica_Top_Down
5000,47000,6128,1087.63,Dinamica_Top_Down
6000,47000,6600,1366.63,Dinamica_Top_Down
7000,47000,7575,2088.24,Dinamica_Top_Down
8000,47000,6407,2221.73,Dinamica_Top_Down
9000,47000,7406,2212.34,Dinamica_Top_Down
1000,48000,2393,249.678,Dinamica_Top_Down
2000,48000,3762,501.594,Dinamica_Top_Down
3000,48000,4052,674.112,Dinamica_Top_Down
4000,48000,4542,886.352,Dinamica_Top_Down
5000,48000,6053,1112.05,Dinamica_Top_Down
6000,48000,7135,1321.28,Dinamica_Top_Down
7000,48000,6646,1348.32,Dinamica_Top_Down
8000,48000,7272,1540.78,Dinamica_Top_Down
9000,48000,7841,1886.27,Dinamica_Top_Down
1000,49000,2446,227.926,Dinamica_Top_Down
2000,49000,3940,453.576,Dinamica_Top_Down
3000,49000,4213,680.022,Dinamica_Top_Down
4000,49000,4601,905.107,Dinamica_Top_Down
5000,49000,6652,1036,Dinamica_Top_Down
6000,49000,5839,1183.97,Dinamica_Top_Down
7000,49000,7263,1376.86,Dinamica_Top_Down
8000,49000,7848,1722.17,Dinamica_Top_Down
9000,49000,8100,2044.4,Dinamica_Top_Down
1000,50000,2821,231.221,Dinamica_Top_Down
2000,50000,3377,456.991,Dinamica_Top_Down
3000,50000,4640,603.382,Dinamica_Top_Down
4000,50000,4873,804.964,Dinamica_Top_Down
5000,50000,5481,991.308,Dinamica_Top_Down
